 age(yr) M*(M_sun) L*(L_sun) T(K) R*(R_sun)
0 1.4998068980e+09 9.9999748390e-02 1.1357367361e-03 3.0401498664e+03 1.2148593568e-01
1 8.0536485296e+08 1.4999963688e-01 3.1779367065e-03 3.2998344326e+03 1.7249061633e-01
2 6.0774522753e+08 1.9999952305e-01 5.8899959650e-03 3.4651356805e+03 2.1295809925e-01
3 4.5909541675e+08 2.4999942948e-01 8.8497612143e-03 3.5387836077e+03 2.5028505323e-01
4 4.1369250659e+08 2.9999931498e-01 1.2155220224e-02 3.5896154240e+03 2.8507735636e-01
5 3.8546135993e+08 3.0999930146e-01 1.2873683312e-02 3.5997026977e+03 2.9173954135e-01
6 1.9951500839e+08 3.1999936949e-01 1.3814100231e-02 3.6088693352e+03 3.0067418159e-01
7 1.9417626444e+08 3.2999934942e-01 1.4643496213e-02 3.6200135888e+03 3.0766574140e-01
8 1.8321229824e+08 3.3999933237e-01 1.5600895363e-02 3.6319271550e+03 3.1548423019e-01
9 1.7900318402e+08 3.4999931164e-01 1.6584126525e-02 3.6442893223e+03 3.2307083659e-01
10 1.7968164881e+08 3.5999928742e-01 1.7594637589e-02 3.6569586719e+03 3.3046632470e-01
11 1.7287409142e+08 3.6999926789e-01 1.8785004474e-02 3.6706962180e+03 3.3891119508e-01
12 1.7385570706e+08 3.7999924258e-01 1.9965390457e-02 3.6846784285e+03 3.4675032156e-01
13 1.6724701759e+08 3.8999922251e-01 2.1375500743e-02 3.7002414368e+03 3.5577479441e-01
14 1.6441239015e+08 3.9999919931e-01 2.2849098404e-02 3.7164744075e+03 3.6462747768e-01
15 1.5773288470e+08 4.4999906802e-01 3.2116828182e-02 3.8122729997e+03 4.1084261979e-01
16 1.4857771601e+08 4.9999891966e-01 4.5271711854e-02 3.9308102165e+03 4.5880322107e-01
17 1.3245725136e+08 5.4999876622e-01 6.3862263912e-02 4.0749561388e+03 5.0705308598e-01
18 1.0830212427e+08 5.9999863170e-01 9.1185859544e-02 4.2619576696e+03 5.5388886753e-01
19 8.6345405606e+07 6.4999850768e-01 1.3017317455e-01 4.4976910072e+03 5.9423560275e-01
20 7.0693503121e+07 6.9999837743e-01 1.8413313119e-01 4.7687689662e+03 6.2868131986e-01
21 6.0142989262e+07 7.4999823137e-01 2.5386041565e-01 5.0271732707e+03 6.6424292465e-01
22 5.3563781205e+07 7.9999805625e-01 3.4214011418e-01 5.2659837075e+03 7.0278118824e-01
23 4.7216270938e+07 8.4999788054e-01 4.5493759896e-01 5.4918844456e+03 7.4509266217e-01
24 4.1957465607e+07 8.9999769203e-01 5.9333406550e-01 5.6961062783e+03 7.9098933215e-01
25 4.0969663042e+07 9.1999759283e-01 6.5559514884e-01 5.7701088389e+03 8.1026486553e-01
26 3.8078849354e+07 9.3999753908e-01 7.2388844307e-01 5.8433315822e+03 8.3021755305e-01
27 3.6807909538e+07 9.5999744662e-01 7.9544360661e-01 5.9111233996e+03 8.5043631805e-01
28 3.4867081191e+07 9.7999737393e-01 8.7315780514e-01 5.9776606696e+03 8.7128654279e-01
29 3.3003245230e+07 9.9999730240e-01 9.5631499740e-01 6.0417644329e+03 8.9258597599e-01
30 3.1735113566e+07 1.0199972126e+00 1.0446563023e+00 6.1024001231e+03 9.1445535245e-01
31 2.9347412280e+07 1.0399971700e+00 1.1410695598e+00 6.1646582620e+03 9.3651599497e-01
32 2.8416414144e+07 1.0599970718e+00 1.2414313635e+00 6.2211139535e+03 9.5918459649e-01
33 2.6671226566e+07 1.0799970137e+00 1.3503283452e+00 6.2790063818e+03 9.8200793109e-01
34 2.5156151377e+07 1.0999969508e+00 1.4667633399e+00 6.3358787673e+03 1.0051791186e+00
35 2.4180817573e+07 1.1199968626e+00 1.5887215947e+00 6.3897954264e+03 1.0285541084e+00
36 2.2645270833e+07 1.1399968127e+00 1.7216016922e+00 6.4453637784e+03 1.0523219382e+00
37 2.2001471312e+07 1.1599967101e+00 1.8587837940e+00 6.4973306018e+03 1.0760232616e+00
38 2.0740405086e+07 1.1799966537e+00 2.0061916560e+00 6.5507994807e+03 1.0997013298e+00
39 1.9777775991e+07 1.1999965813e+00 2.1623935639e+00 6.6033196239e+03 1.1236210944e+00
40 1.8883303489e+07 1.2199965083e+00 2.3275569508e+00 6.6555103735e+03 1.1475314076e+00
41 1.8418666005e+07 1.2399963997e+00 2.5031016950e+00 6.7085181221e+03 1.1712866807e+00
42 1.7399322924e+07 1.2599963478e+00 2.6857226166e+00 6.7600442336e+03 1.1948369786e+00
43 1.6704765816e+07 1.2799962689e+00 2.8811603741e+00 6.8132039438e+03 1.2183107897e+00
44 1.6082093336e+07 1.2999961862e+00 3.0866254366e+00 6.8671957349e+03 1.2412528685e+00
45 1.9941744556e+07 1.3199955035e+00 3.6561049977e+00 7.1044721064e+03 1.2621845360e+00
46 1.9182602662e+07 1.3399954047e+00 3.9274404562e+00 7.1905167178e+03 1.2770613352e+00
47 1.8403433125e+07 1.3599953164e+00 4.2124212545e+00 7.2812478011e+03 1.2898268901e+00
48 1.7543795581e+07 1.3799952513e+00 4.5154615492e+00 7.3753952539e+03 1.3015403227e+00
49 1.7063276148e+07 1.3999951297e+00 4.8174964111e+00 7.4846424347e+03 1.3054063983e+00
50 1.6317446667e+07 1.4199950637e+00 5.1503637806e+00 7.5888797889e+03 1.3129275389e+00
51 1.5800098841e+07 1.4399949622e+00 5.4818556745e+00 7.7008782472e+03 1.3154078720e+00
52 1.5266490882e+07 1.4599948705e+00 5.8309907760e+00 7.8115894477e+03 1.3184677437e+00
53 1.4871233877e+07 1.4799947545e+00 6.1744905191e+00 7.9233997737e+03 1.3187260302e+00
